氏名コード, 成績年月, 契約番号  , 保険種類, 商品コード, プランコード, 申込日    , 成約日    , 保険期間_年, 保険料_月額, 保険料_年額, 初回保険料, 解約返戻金見込, 保険金額, 特約数, 付加保険料, 手数料率, 継続年数, 保全件数, 失効件数, 更改回数, 家族割引率, 契約者年齢, 被保険者年齢, 支社コード, 営業所コード, チャネル区分, 支払方法, 都道府県, 性別, 募集人資格区分, 申込受付ルート, 申込書チェック不備数, 収納遅延月数, キャンペーンコード, 医的診査要否フラグ, 喫煙者フラグ, 告知緩和フラグ, 団体扱いフラグ, 新規契約フラグ, 更改フラグ, 解約フラグ, 失効フラグ, 復活フラグ, 口座振替フラグ, クレカ払フラグ, 一時払フラグ, 年払フラグ, 半年払フラグ, 月払フラグ
A001      ,   202510, K2025-0011, 終身    , S01       , P-A         , 2025-10-02, 2025-10-18,          60,       12100,      145200,      12100,         510000, 10000000,      2,        610,     0.12,        6,        3,        0,        1,       0.05,         45,           43,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
A004      ,   202510, K2025-0012, 医療    , M11       , P-B         , 2025-10-06, 2025-10-21,          10,        4600,       55200,       4600,          21000,  3000000,      1,        155,     0.10,        3,        0,        0,        0,       0.0 ,         39,           37,         01,         0102, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
D101      ,   202509, K2025-0013, 定期    , T05       , P-C         , 2025-09-01, 2025-09-18,          20,        7900,       94800,       7900,              0,  7800000,      0,          0,     0.15,        5,        0,        0,        1,       0.0 ,         50,           48,         02,         0204, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
C205      ,   202507, K2025-0014, がん    , C21       , P-D         , 2025-07-09, 2025-07-22,          15,        6300,       75600,       6300,              0,  5200000,      1,        205,     0.11,        2,        0,        0,        0,       0.02,         28,           28,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
E201      ,   202508, K2025-0015, 養老    , Y33       , P-E         , 2025-08-07, 2025-08-23,          25,       15100,      181200,      15100,         310000,  7100000,      3,       1210,     0.09,       11,        2,        0,        3,       0.03,         39,           39,         03,         0301, 訪販        , 一時払  , 福岡県  , 男性, 一種          , 郵送          ,                    2,            0, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
F301      ,   202507, K2025-0016, 終身    , S01       , P-A         , 2025-07-15, 2025-07-28,          60,       11800,      141600,      11800,         495000, 10000000,      2,        595,     0.12,        5,        2,        0,        1,       0.05,         47,           45,         01,         0103, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    1,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
F302      ,   202508, K2025-0017, 医療    , M11       , P-B         , 2025-08-11, 2025-08-26,          10,        4400,       52800,       4400,          19000,  3000000,      1,        148,     0.10,        2,        0,        0,        0,       0.0 ,         36,           34,         01,         0104, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
G401      ,   202509, K2025-0018, 定期    , T05       , P-C         , 2025-09-04, 2025-09-19,          20,        8050,       96600,       8050,              0,  8050000,      0,          0,     0.15,        6,        1,        0,        2,       0.0 ,         53,           51,         02,         0205, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            3, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
H501      ,   202510, K2025-0019, がん    , C21       , P-D         , 2025-10-03, 2025-10-16,          15,        6150,       73800,       6150,              0,  5100000,      1,        198,     0.11,        1,        0,        0,        0,       0.02,         31,           31,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
I601      ,   202510, K2025-0020, 養老    , Y33       , P-E         , 2025-10-08, 2025-10-22,          25,       14950,      179400,      14950,         295000,  7050000,      3,       1190,     0.09,       10,        2,        0,        3,       0.03,         42,           42,         02,         0203, 訪販        , 一時払  , 大阪府  , 女性, 一種          , 郵送          ,                    2,            1, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
J701      ,   202509, K2025-0021, 終身    , S01       , P-A         , 2025-09-14, 2025-09-29,          60,       12200,      146400,      12200,         520000, 10000000,      2,        620,     0.12,        7,        3,        0,        1,       0.05,         44,           42,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
K801      ,   202508, K2025-0022, 医療    , M11       , P-B         , 2025-08-09, 2025-08-24,          10,        4550,       54600,       4550,          20500,  3000000,      1,        152,     0.10,        3,        0,        0,        0,       0.0 ,         38,           36,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
L901      ,   202507, K2025-0023, 定期    , T05       , P-C         , 2025-07-02, 2025-07-18,          20,        8100,       97200,       8100,              0,  8100000,      0,          0,     0.15,        8,        1,        0,        2,       0.0 ,         49,           47,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            2, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
M001      ,   202508, K2025-0024, がん    , C21       , P-D         , 2025-08-14, 2025-08-29,          15,        6220,       74640,       6220,              0,  5050000,      1,        202,     0.11,        1,        0,        0,        0,       0.02,         27,           27,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
N100      ,   202507, K2025-0025, 養老    , Y33       , P-E         , 2025-07-11, 2025-07-26,          25,       15200,      182400,      15200,         305000,  7150000,      3,       1220,     0.09,       12,        2,        0,        3,       0.03,         38,           38,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    2,            0, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
O200      ,   202510, K2025-0026, 終身    , S01       , P-A         , 2025-10-12, 2025-10-25,          60,       11950,      143400,      11950,         505000, 10000000,      2,        605,     0.12,        5,        1,        0,        0,       0.05,         48,           46,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            1, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
P300      ,   202509, K2025-0027, 医療    , M11       , P-B         , 2025-09-16, 2025-09-30,          10,        4450,       53400,       4450,          19500,  3000000,      1,        150,     0.10,        2,        0,        0,        0,       0.0 ,         35,           33,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
Q400      ,   202508, K2025-0028, 定期    , T05       , P-C         , 2025-08-02, 2025-08-19,          20,        7950,       95400,       7950,              0,  7950000,      0,          0,     0.15,        6,        0,        0,        1,       0.0 ,         54,           52,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
R500      ,   202507, K2025-0029, がん    , C21       , P-D         , 2025-07-06, 2025-07-21,          15,        6180,       74160,       6180,              0,  4950000,      1,        195,     0.11,        1,        0,        0,        0,       0.02,         32,           32,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
S600      ,   202509, K2025-0030, 養老    , Y33       , P-E         , 2025-09-09, 2025-09-23,          25,       14750,      177000,      14750,         285000,  6950000,      3,       1170,     0.09,        9,        2,        0,        3,       0.03,         43,           43,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    1,            1, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
T700      ,   202507, K2025-0031, 終身    , S01       , P-A         , 2025-07-18, 2025-07-30,          60,       11650,      139800,      11650,         492000, 10000000,      2,        590,     0.12,        4,        0,        0,        0,       0.05,         46,           44,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
U800      ,   202508, K2025-0032, 医療    , M11       , P-B         , 2025-08-13, 2025-08-27,          10,        4350,       52200,       4350,          18500,  3000000,      1,        147,     0.10,        2,        0,        0,        0,       0.0 ,         37,           35,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
V900      ,   202510, K2025-0033, 定期    , T05       , P-C         , 2025-10-01, 2025-10-19,          20,        8250,       99000,       8250,              0,  8250000,      0,          0,     0.15,        8,        2,        0,        2,       0.0 ,         51,           49,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            2, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
W100      ,   202510, K2025-0034, がん    , C21       , P-D         , 2025-10-05, 2025-10-17,          15,        6080,       72960,       6080,              0,  4750000,      1,        192,     0.11,        1,        0,        0,        0,       0.02,         29,           29,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
X200      ,   202509, K2025-0035, 養老    , Y33       , P-E         , 2025-09-21, 2025-09-30,          25,       15300,      183600,      15300,         320000,  7200000,      3,       1230,     0.09,       10,        3,        0,        3,       0.03,         37,           37,         02,         0203, 訪販        , 一時払  , 大阪府  , 女性, 一種          , 郵送          ,                    2,            0, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
Y300      ,   202507, K2025-0036, 終身    , S01       , P-A         , 2025-07-20, 2025-07-31,          60,       12050,      144600,      12050,         508000, 10000000,      2,        615,     0.12,        6,        1,        0,        1,       0.05,         45,           43,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
Z400      ,   202508, K2025-0037, 医療    , M11       , P-B         , 2025-08-17, 2025-08-30,          10,        4520,       54240,       4520,          20200,  3000000,      1,        151,     0.10,        2,        0,        0,        0,       0.0 ,         36,           34,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
AA01      ,   202510, K2025-0038, 定期    , T05       , P-C         , 2025-10-11, 2025-10-24,          20,        7980,       95760,       7980,              0,  7980000,      0,          0,     0.15,        5,        1,        0,        2,       0.0 ,         52,           50,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            1, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
BB02      ,   202507, K2025-0039, がん    , C21       , P-D         , 2025-07-04, 2025-07-16,          15,        6060,       72720,       6060,              0,  4900000,      1,        190,     0.11,        1,        0,        0,        0,       0.02,         33,           33,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
CC03      ,   202508, K2025-0040, 養老    , Y33       , P-E         , 2025-08-15, 2025-08-29,          25,       15050,      180600,      15050,         300000,  7070000,      3,       1205,     0.09,       10,        2,        0,        3,       0.03,         40,           40,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    2,            1, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
DD04      ,   202509, K2025-0041, 終身    , S01       , P-A         , 2025-09-23, 2025-09-30,          60,       11750,      141000,      11750,         485000, 10000000,      2,        585,     0.12,        4,        0,        0,        0,       0.05,         47,           45,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
EE05      ,   202510, K2025-0042, 医療    , M11       , P-B         , 2025-10-09, 2025-10-20,          10,        4480,       53760,       4480,          19800,  3000000,      1,        149,     0.10,        2,        0,        0,        0,       0.0 ,         34,           32,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
FF06      ,   202507, K2025-0043, 定期    , T05       , P-C         , 2025-07-13, 2025-07-27,          20,        8320,       99840,       8320,              0,  8320000,      0,          0,     0.15,        9,        1,        0,        2,       0.0 ,         55,           53,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            2, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
GG07      ,   202508, K2025-0044, がん    , C21       , P-D         , 2025-08-18, 2025-08-31,          15,        6250,       75000,       6250,              0,  5300000,      1,        208,     0.11,        2,        0,        0,        0,       0.02,         26,           26,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
HH08      ,   202509, K2025-0045, 養老    , Y33       , P-E         , 2025-09-02, 2025-09-15,          25,       14680,      176160,      14680,         280000,  6900000,      3,       1160,     0.09,        8,        1,        0,        2,       0.03,         44,           44,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    1,            0, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
II09      ,   202510, K2025-0046, 終身    , S01       , P-A         , 2025-10-14, 2025-10-28,          60,       12300,      147600,      12300,         530000, 10000000,      2,        630,     0.12,        7,        4,        0,        1,       0.05,         43,           41,         01,         0101, 対面        , 口振    , 東京都  , 男性, 一種          , 支社受付      ,                    0,            0, CAMP-X            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
JJ10      ,   202507, K2025-0047, 医療    , M11       , P-B         , 2025-07-22, 2025-07-31,          10,        4390,       52680,       4390,          18700,  3000000,      1,        146,     0.10,        2,        0,        0,        0,       0.0 ,         36,           34,         01,         0101, 対面        , クレカ  , 東京都  , 女性, 二種          , Web申込       ,                    0,            0, CAMP-X            ,                  0,            0,              1,              0,              1,          0,          0,          0,          0,              0,              1,            0,          0,            1,          1
KK11      ,   202508, K2025-0048, 定期    , T05       , P-C         , 2025-08-06, 2025-08-21,          20,        8070,       96840,       8070,              0,  8070000,      0,          0,     0.15,        7,        1,        0,        2,       0.0 ,         50,           48,         02,         0203, 訪販        , 口振    , 大阪府  , 男性, 一種          , 支社受付      ,                    0,            1, CAMP-A            ,                  1,            1,              0,              0,              1,          0,          0,          0,          0,              1,              0,            0,          0,            1,          1
LL12      ,   202509, K2025-0049, がん    , C21       , P-D         , 2025-09-12, 2025-09-26,          15,        6120,       73440,       6120,              0,  5000000,      1,        196,     0.11,        1,        0,        0,        0,       0.02,         30,           30,         13,         1309, 代理店      , 年払    , 愛知県  , 女性, 三種          , 代理店経由    ,                    0,            0, CAMP-B            ,                  0,            0,              0,              1,              1,          0,          0,          0,          0,              0,              0,            0,          1,            0,          0
MM13      ,   202510, K2025-0050, 養老    , Y33       , P-E         , 2025-10-16, 2025-10-30,          25,       15150,      181800,      15150,         315000,  7120000,      3,       1215,     0.09,       11,        2,        0,        3,       0.03,         41,           41,         02,         0203, 訪販        , 一時払  , 大阪府  , 男性, 一種          , 郵送          ,                    2,            1, CAMP-A            ,                  1,            0,              0,              0,              1,          0,          0,          0,          0,              0,              0,            1,          0,            0,          0
